kb4014562,April 2017 Security update for the .NET Framework 4.5.2 for Windows 8.1 and Windows Server 2012 R2
kb4014595,May 2017 Security only update for the .NET Framework 4.5.2 for Windows 8.1 and Windows Server 2012 R2
kb4040958,September 2017 Security only update for the .NET Framework 4.5.2 for Windows 8.1 and Windows Server 2012 R2
kb4054170,January 2018 Security only update for the .NET Framework 4.5.2 for Windows 8.1 and Windows Server 2012 R2
kb4095517,May 2018 Security only update for the .NET Framework 4.5.2 for Windows 8.1 and Windows Server 2012 R2
kb4338600,July 2018 Security only update for the .NET Framework 4.5.2 for Windows 8.1 and Windows Server 2012 R2
kb4344171,August 2018 Security only update for the .NET Framework 4.5.2 for Windows 8.1 and Windows Server 2012 R2
kb4457028,September 2018 Security only update for the .NET Framework 4.5.2 for Windows 8.1 and Windows Server 2012 R2
kb4470491,December 2018 Security only update for the .NET Framework 4.5.2 for Windows 8.1 and Windows Server 2012 R2
kb4480074,January 2019 Security only update for the .NET Framework 4.5.2 for Windows 8.1 and Windows Server 2012 R2
kb4483472,February 2019 Security only update for the .NET Framework 4.5.2 for Windows 8.1 and Windows Server 2012 R2
kb4495589,May 2019 Security only update for the .NET Framework 4.5.2 for Windows 8.1 and Windows Server 2012 R2
kb4506964,July 2019 Security Only update for the .NET Framework 4.5.2 for Windows 8.1 and Windows Server 2012 R2
kb4514341,September 2019 Security Only update for the .NET Framework 4.5.2 for Windows 8.1 and Windows Server 2012 R2
kb4532962,January 2020 Security only update for the .NET Framework 4.5.2 for Windows 8.1 and Windows Server 2012 R2
kb4552967,May 2020 Security only update for the .NET Framework 4.5.2 for Windows 8.1 and Windows Server 2012 R2
kb4565581,July 2020 Security only update for the .NET Framework 4.5.2 for Windows 8.1 and Windows Server 2012 R2
kb4569741,August 2020 Security only update for the .NET Framework 4.5.2 for Windows 8.1 and Windows Server 2012 R2
kb4578984,October 2020 Security only update for the .NET Framework 4.5.2 for Windows 8.1 and Windows Server 2012 R2
